trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,6,-62.50793108066609,"{0: 8, 1: 0, 2: 5, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-171.0939267852982,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-204.1921049592752,"{0: 7, 1: 3, 2: 4, 3: 4, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-64.72555383100614,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,11,-97.52497684791302,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-177.11079000877382,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,12,-72.21473911265821,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-70.0051577750286,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-207.69785246421722,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-141.9603635758102,"{0: 18, 1: 6, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-62.90028615794771,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,11,-11.571452285345975,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,6,-47.62410604783704,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-39.199124757189026,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,4,-115.30306107413766,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 3}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-10.712615749784065,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,9,-25.202811760529485,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-60.41168287841003,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-64.30178756010474,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-109.53608897495289,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",25,1,-40.47483863210541,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",30,9,-89.52961441583695,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",25,0,-7.831194847790478,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,5,24.271757267011186,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-197.18401984095948,"{0: 13, 1: 0, 2: 0, 3: 3, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",25,0,-135.16176319159143,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",25,9,-15.941365216854017,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,8,15.77493798472841,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-146.11643998081738,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-91.7849970618316,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
