trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.65, 'e': 0.9801986733067553}",20,0,-59.33997288550225,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.65, 'e': 0.9607894391523231}",20,0,-68.28283435241016,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
3,False,"{'a': 0.65, 'e': 0.9417645335842485}",25,0,-99.84352976473559,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.65, 'e': 0.9231163463866355}",20,0,-57.746403196216775,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.65, 'e': 0.9048374180359593}",25,0,-216.26551349805894,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
6,False,"{'a': 0.65, 'e': 0.8869204367171571}",25,0,-81.62520621502863,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.65, 'e': 0.8693582353988054}",30,0,-125.0022172244051,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.65, 'e': 0.8521437889662109}",20,0,-145.58250275662678,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.65, 'e': 0.8352702114112716}",20,6,-47.41820997574669,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.65, 'e': 0.8187307530779814}",30,0,-211.64275087399037,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
11,False,"{'a': 0.65, 'e': 0.8025187979624779}",20,0,-93.87495169440334,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.65, 'e': 0.7866278610665528}",25,0,-113.11690137160335,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.65, 'e': 0.7710515858035657}",20,0,-70.43528159727238,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.65, 'e': 0.7557837414557249}",25,12,-0.07356440395064312,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.65, 'e': 0.7408182206817173}",25,0,-156.50608369446616,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 2}",0
16,False,"{'a': 0.65, 'e': 0.7261490370736904}",30,0,-160.64025884631303,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.65, 'e': 0.7117703227626091}",25,0,-113.03969627757867,"{0: 15, 1: 7, 2: 0, 3: 1, 4: 2}",0
18,False,"{'a': 0.65, 'e': 0.6976763260710304}",20,0,-138.1637752933208,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.65, 'e': 0.6838614092123552}",25,0,-180.98396281562245,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 4}",0
20,False,"{'a': 0.65, 'e': 0.6703200460356386}",20,0,-148.8491276789812,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
21,False,"{'a': 0.65, 'e': 0.657046819815056}",20,0,-99.46230789584861,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.65, 'e': 0.6440364210831405}",25,0,-58.91460571926379,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
23,False,"{'a': 0.65, 'e': 0.6312836455069251}",20,0,-41.881217994125166,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.65, 'e': 0.61878339180614}",30,0,-117.93415085135103,"{0: 23, 1: 2, 2: 1, 3: 2, 4: 2}",0
25,False,"{'a': 0.65, 'e': 0.6065306597126325}",20,2,-45.087853884260404,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 0}",1
26,False,"{'a': 0.65, 'e': 0.5945205479701935}",25,13,5.610272648471005,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.65, 'e': 0.5827482523739888}",30,0,-42.424805001147554,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
28,False,"{'a': 0.65, 'e': 0.571209063848814}",20,0,-82.17822947116825,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
29,False,"{'a': 0.65, 'e': 0.5598983665654012}",20,0,-6.00298938794714,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
30,False,"{'a': 0.65, 'e': 0.5488116360940255}",20,0,-59.27313376345301,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
31,False,"{'a': 0.65, 'e': 0.5379444375946736}",25,14,-55.654638535413476,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
32,False,"{'a': 0.65, 'e': 0.5272924240430477}",20,0,-59.3572088634039,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
33,False,"{'a': 0.65, 'e': 0.5168513344916983}",20,0,-13.012527979000167,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.65, 'e': 0.5066169923655887}",35,25,-3.055929966767732,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
35,False,"{'a': 0.65, 'e': 0.4965853037914086}",25,8,-6.215277472060608,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.65, 'e': 0.48675225595997074}",20,1,-95.25941910760001,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
37,False,"{'a': 0.65, 'e': 0.4771139155210335}",20,11,-2.2263841474888926,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
38,False,"{'a': 0.65, 'e': 0.46766642700990835}",25,4,-38.971486170699606,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
39,False,"{'a': 0.65, 'e': 0.4584060113052226}",30,0,-50.98884659106401,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
40,False,"{'a': 0.65, 'e': 0.4493289641172207}",25,0,-69.5575060699393,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
41,False,"{'a': 0.65, 'e': 0.44043165450599836}",25,0,-206.86706457118547,"{0: 15, 1: 1, 2: 2, 3: 4, 4: 3}",0
42,False,"{'a': 0.65, 'e': 0.4317105234290788}",25,19,7.438767757862579,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.65, 'e': 0.4231620823177479}",25,13,16.909308755922066,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.65, 'e': 0.41478291168158044}",20,0,-66.68583709542737,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
45,False,"{'a': 0.65, 'e': 0.40656965974059817}",25,0,-106.90859605773241,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
46,False,"{'a': 0.65, 'e': 0.39851904108451325}",25,0,-42.35633087693156,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
47,False,"{'a': 0.65, 'e': 0.3906278353585202}",20,0,-12.103437359932528,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
48,False,"{'a': 0.65, 'e': 0.3828928859751111}",25,7,6.21441808136867,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.65, 'e': 0.37531109885139863}",25,14,2.802717964169479,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.65, 'e': 0.3678794411714414}",25,14,2.9738192287503207,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.65, 'e': 0.36059494017307736}",25,0,-40.40651665898377,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.65, 'e': 0.3534546819587792}",20,0,-87.95936609309348,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
53,False,"{'a': 0.65, 'e': 0.3464558103300565}",30,0,-72.67123951879695,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 2}",0
54,False,"{'a': 0.65, 'e': 0.3395955256449382}",20,0,-33.22888620741635,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
55,False,"{'a': 0.65, 'e': 0.3328710836980786}",20,0,16.19118230143189,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.65, 'e': 0.3262797946230385}",20,0,15.083212120402893,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.65, 'e': 0.31981902181630295}",25,9,-7.024034715750655,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
58,False,"{'a': 0.65, 'e': 0.3134861808826044}",20,7,-26.207938873241925,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
