trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-98.31331932973355,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-157.09534611284974,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-146.17316349748253,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-126.35163591607866,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,15,-81.94687499857785,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-85.532518643868,"{0: 30, 1: 0, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-71.6443691011781,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,14,-31.58853752318101,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-66.0398591555851,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,7,-29.126568829614833,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-15.529892229470558,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-102.8274663533946,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-21.137788870314896,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,4,-45.33397279696927,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,13,16.388876656070376,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-40.884562608076024,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,22,17.917768763871738,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,2,30.74179377955467,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,16.907555768080584,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,18,18.885957450923826,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,17,15.810323642538737,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,15,22.494746039898338,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,0,-20.328011130096073,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,2,36.979198793761846,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,1,-12.755484735959657,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,6,26.1253125489238,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,13,2.8019648707112803,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,13,-23.51883390299125,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,11,8.701810582278153,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,1,-47.55222912163281,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 2}",1
