trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.65, 'e': 0.9801986733067553}",20,0,-147.88269905759745,"{0: 7, 1: 3, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.65, 'e': 0.9607894391523231}",25,0,-107.24625243616062,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.65, 'e': 0.9417645335842485}",20,0,-74.64905259972684,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.65, 'e': 0.9231163463866355}",25,0,-150.69634100646084,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
5,False,"{'a': 0.65, 'e': 0.9048374180359593}",30,0,-103.65943518583772,"{0: 18, 1: 4, 2: 5, 3: 3, 4: 0}",0
6,False,"{'a': 0.65, 'e': 0.8869204367171571}",30,0,-128.05361998093113,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.65, 'e': 0.8693582353988054}",25,0,-237.8945408354596,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
8,False,"{'a': 0.65, 'e': 0.8521437889662109}",20,0,-189.35815849180227,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.65, 'e': 0.8352702114112716}",25,5,-75.20697147658089,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",1
10,False,"{'a': 0.65, 'e': 0.8187307530779814}",30,0,-133.76067707319856,"{0: 18, 1: 5, 2: 3, 3: 3, 4: 1}",0
11,False,"{'a': 0.65, 'e': 0.8025187979624779}",25,0,-73.47468313990855,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.65, 'e': 0.7866278610665528}",20,0,-120.44658268733917,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.65, 'e': 0.7710515858035657}",20,12,-9.940942214520934,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.65, 'e': 0.7557837414557249}",20,6,-9.718962845091415,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.65, 'e': 0.7408182206817173}",30,0,-195.78674901401143,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 4}",0
16,False,"{'a': 0.65, 'e': 0.7261490370736904}",20,6,-29.0743458638838,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
17,False,"{'a': 0.65, 'e': 0.7117703227626091}",20,0,-101.17230699995895,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.65, 'e': 0.6976763260710304}",20,0,-129.482614716791,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
19,False,"{'a': 0.65, 'e': 0.6838614092123552}",25,3,-64.6350049759969,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 0}",1
20,False,"{'a': 0.65, 'e': 0.6703200460356386}",20,9,-17.753253019057375,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
21,False,"{'a': 0.65, 'e': 0.657046819815056}",20,0,-20.071076312717377,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.65, 'e': 0.6440364210831405}",30,0,-151.90467437899056,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
23,False,"{'a': 0.65, 'e': 0.6312836455069251}",30,0,-126.44011273361033,"{0: 22, 1: 2, 2: 2, 3: 2, 4: 2}",0
24,False,"{'a': 0.65, 'e': 0.61878339180614}",20,0,-16.183116230088803,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
25,False,"{'a': 0.65, 'e': 0.6065306597126325}",25,0,-8.737177689460758,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.65, 'e': 0.5945205479701935}",30,11,-167.94703534661062,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 4}",1
27,False,"{'a': 0.65, 'e': 0.5827482523739888}",30,8,-57.0682630049652,"{0: 17, 1: 0, 2: 2, 3: 3, 4: 0}",1
28,False,"{'a': 0.65, 'e': 0.571209063848814}",20,13,-10.201651743665973,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.65, 'e': 0.5598983665654012}",20,0,-81.24911981772051,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.65, 'e': 0.5488116360940255}",25,0,-48.85147516387053,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.65, 'e': 0.5379444375946736}",20,0,-50.340062042392724,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.65, 'e': 0.5272924240430477}",25,11,-81.95445670687279,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 2}",1
33,False,"{'a': 0.65, 'e': 0.5168513344916983}",25,11,-80.02195587566645,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
34,False,"{'a': 0.65, 'e': 0.5066169923655887}",20,11,-1.0761109927668586,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.65, 'e': 0.4965853037914086}",30,10,-86.23205180473836,"{0: 15, 1: 0, 2: 1, 3: 3, 4: 1}",1
36,False,"{'a': 0.65, 'e': 0.48675225595997074}",20,0,-12.739856059485788,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
37,False,"{'a': 0.65, 'e': 0.4771139155210335}",35,0,-48.48473007989203,"{0: 29, 1: 1, 2: 4, 3: 0, 4: 1}",0
38,False,"{'a': 0.65, 'e': 0.46766642700990835}",25,0,-55.999118565121464,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
39,False,"{'a': 0.65, 'e': 0.4584060113052226}",20,0,-18.511731519939996,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
40,False,"{'a': 0.65, 'e': 0.4493289641172207}",25,9,-23.2001840909709,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
41,False,"{'a': 0.65, 'e': 0.44043165450599836}",30,9,-5.138275579114362,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 0}",1
42,False,"{'a': 0.65, 'e': 0.4317105234290788}",35,12,-110.31859530668271,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 2}",1
43,False,"{'a': 0.65, 'e': 0.4231620823177479}",25,15,-15.049273395709179,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.65, 'e': 0.41478291168158044}",25,14,-29.167359228548364,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.65, 'e': 0.40656965974059817}",30,3,-19.06182590178523,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 0}",1
46,False,"{'a': 0.65, 'e': 0.39851904108451325}",25,0,15.834371211862644,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.65, 'e': 0.3906278353585202}",20,12,-22.08725274617213,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
48,False,"{'a': 0.65, 'e': 0.3828928859751111}",20,3,-44.20132006735502,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 1}",1
