trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-81.69407633908797,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-53.53747949703425,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-148.87727318250023,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-142.1491233749361,"{0: 11, 1: 6, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-135.49248870510905,"{0: 7, 1: 6, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-95.12651059450924,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,1,-53.18629415961624,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-59.4145148072605,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-104.58082173334684,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-22.556601575853456,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-155.67289367379735,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-130.06347566994793,"{0: 19, 1: 4, 2: 11, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-86.53070619948274,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-82.35169272657495,"{0: 22, 1: 0, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-122.4637673646124,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-212.49216590285133,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,9,-31.91149570971515,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-46.70972848063307,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-55.36529791016146,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-202.68427971252927,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,0,-76.4934623669034,"{0: 18, 1: 8, 2: 2, 3: 2, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-283.9306364490549,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 5}",0
3,True,"{'a': 0, 'e': 0}",20,0,-252.1445790431234,"{0: 8, 1: 4, 2: 2, 3: 1, 4: 5}",0
4,True,"{'a': 0, 'e': 0}",35,0,-126.21873592077904,"{0: 24, 1: 2, 2: 6, 3: 2, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-92.21598254549252,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-97.97049276658763,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,0,-117.36773021504278,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-97.07148046309845,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-154.05856974966107,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-74.66601858238272,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
